state,next_state,earnings_velocity_5d,days_since_last_s0,earnings_ratio_to_mu,active_hours_today,trips_completed_today,cancellation_rate_7d,day_of_week,is_holiday,weather_severity,surge_active,rider_id
0,3,0.00669572563426124,0,1.0066957256342612,5.974798263743566,17,0.04051272222969254,0,0,0.4881129432782428,1,0
3,3,-0.7268530342446964,0,0.27448611088215574,1.5531261761237483,3,0.47422122611350287,1,0,0.45555838708578966,0,0
3,2,-0.542204956438658,1,0.31403141086462527,0.35750826675533887,0,0.4953641155379359,2,0,0.2900148178027494,0,0
2,2,-0.10687244048572175,2,0.6121702089904868,1.731635906392694,4,0.28780754950846155,3,0,0.37308881287281564,1,0
2,2,-0.18465944003055695,3,0.456817251243749,3.6148812568051634,13,0.31951778363474104,4,0,0.5257944585441783,1,0
2,3,-0.026728645125506434,4,0.5061114963975492,3.807143166922285,8,0.30656065790187037,5,0,0.408630853661039,0,0
3,3,-0.25904279510152023,5,0.17368050057419293,0.29444101856080707,0,0.49040986350928095,6,0,0.3135158138977783,0,0
3,2,-0.2507035904883038,6,0.1618585831258168,1.2441295976575084,3,0.48995344910042676,0,0,0.5989882622468792,0,0
2,2,0.16280944594303837,7,0.5449370540093973,0.5864705149931169,1,0.2942608702535515,1,0,0.458669447039985,1,0
2,2,0.10894138311095097,8,0.477622360181092,3.438385590951005,9,0.3047561907323014,2,0,0.3994321488107528,0,0
2,0,0.06452510910622494,9,0.4373671079638346,1.795896489695914,5,0.31460917442356745,3,0,0.16761481178666973,1,0
0,0,0.6187363498830944,10,0.9778294710539612,3.4689983490629555,7,0.047608453672808033,4,0,0.38930623520598884,0,0
0,0,0.46027057095297896,0,0.9801934862197993,5.465604043407861,18,0.08897684893358196,5,0,0.10055063447970364,0,0
0,1,0.3604217983616964,0,1.0440116942473132,6.651635465318786,21,0.0,6,0,0.25891248842647396,1,0
1,1,-0.021218253535640774,0,0.7621865703975592,6.602668336981373,21,0.1506555643657033,0,0,0.01078842912230904,0,0
1,1,-0.04657816235952583,1,0.7937395036169679,6.3949543368293424,20,0.16070613177448528,1,0,0.33585512699126324,1,0
1,0,-0.1283256943541018,2,0.7832664507530184,1.9937905582460134,5,0.14333331908703678,2,0,0.114684811718895,0,0
0,0,0.14902542699697274,3,1.0217049680439043,2.801930578903036,7,0.02031385639904408,3,0,0.4676253135788762,0,0
0,0,0.17484958192099764,0,1.0558314193327503,5.7620477444419675,17,0.05471145702336034,4,0,0.2169285479640629,0,0
0,0,0.2092507156160237,0,1.0925964980448637,7.474109266534587,28,0.05390823564418658,5,0,0.2027384181853338,1,0
0,0,0.007551561678772356,0,0.9569793296370732,4.645609232869461,18,0.07515467611209035,6,0,0.1069766475535256,0,0
0,2,0.04128759329939602,0,1.023363326461718,4.161591354349127,16,0.0363504955897766,0,0,0.2686724204683819,0,0
2,3,-0.5151247752758223,0,0.5149703330282396,2.829073752045785,9,0.33918005225120473,1,0,0.615818251282087,0,0
3,2,-0.7428805563633074,1,0.18586762493762152,3.476391898346874,12,0.45895522402263006,2,0,0.3857512876923227,0,0
2,3,-0.18114762019812358,2,0.5736078022237796,3.464990192033566,13,0.2731581894313252,3,0,0.22336253577280243,0,0
3,1,-0.3962132388708401,3,0.25474444438684624,0.0,0,0.5193181637983058,4,0,0.26731142029509747,1,0
1,2,0.2874602949735221,4,0.797971001181163,4.245947238891627,9,0.11020821846781308,5,0,0.056237387915274384,1,0
2,2,0.06275191062264812,5,0.5281841517741781,2.2682414811251492,8,0.3401219432232823,6,0,0.20316611333328427,1,0
2,1,0.03666445723701989,6,0.5047394621377376,6.27621105630088,20,0.30684684990416716,0,1,0.34849935825424433,0,0
1,2,0.23468064837638491,7,0.7665300207171258,3.106374243384587,11,0.186175608626647,1,0,0.24252332769016477,0,0
2,3,0.045370968419786495,8,0.6158047844591967,1.1847088327486173,3,0.28411681717901777,2,0,0.26746681589101845,0,0
3,2,-0.45009075383684805,9,0.1925551302170323,5.357600753860609,11,0.5551074058496395,3,0,0.006590950921801841,1,0
2,1,-0.03440929920137348,10,0.48715341065968065,3.152149111699928,8,0.32332012728185233,4,0,0.3683111101881019,0,0
1,0,0.24880348982413558,11,0.7621600514622903,4.907307783817709,16,0.13334018343542953,5,0,0.025020838326003603,1,0
0,1,0.39736724145070457,12,0.9622079209537697,5.854070102379766,14,0.059494827850199244,6,0,0.37035128167984066,0,0
1,0,0.15970204853033787,0,0.7636783080807318,5.986714429633298,12,0.11662765584049746,0,0,0.37716931051130015,1,0
0,2,0.3082894944965763,1,0.9418404587712771,6.395575806534779,21,0.03585425577650153,1,0,0.0,0,0
2,2,-0.2063376650611901,0,0.5770703649243598,2.144724603235474,7,0.22300024677206107,2,0,0.27930234638680784,0,0
2,2,-0.21092031137873768,1,0.5904711094597482,3.7957420205472827,10,0.2539841578525159,3,0,0.22561708373574202,0,0
2,3,-0.23653667893143404,2,0.5305169535065433,4.266117833466541,13,0.3519693481622983,4,0,0.08942029785921018,0,0
3,2,-0.4272300578478619,3,0.25348538110067015,2.48437590189228,5,0.4790772853009917,5,0,0.3877986317476597,0,0
2,0,0.01668069262732974,4,0.5953575461798494,0.14193961652013876,0,0.32192324073415934,6,0,0.2618697884989681,0,0
0,1,0.454012785689186,5,0.9633930567234201,6.049173139314391,19,0.019588479006788038,0,0,0.19634403152674507,0,0
1,1,0.043347387766356604,0,0.6299921971604028,4.308050359848867,15,0.15913100187090778,1,0,0.3624018943102488,0,0
1,0,0.07261392076420903,1,0.6671629476983861,4.752534919050988,13,0.19427847144160526,2,0,0.0,0,0
0,1,0.3903986759506335,2,1.0122769017231792,4.704982102890927,12,0.05811029717845178,3,0,0.4627527379932421,0,0
1,1,-0.03018396050652139,0,0.7434525693905262,3.0846176567811545,11,0.19444366642976918,4,0,0.376678772870699,0,0
1,3,-0.008380383255089052,1,0.7948751512840939,5.03117475198614,18,0.17525460200670184,5,0,0.46887703809706405,1,0
3,3,-0.5139016438564871,2,0.2556503095948307,0.0,0,0.5392865205458158,6,0,0.0,0,0
3,3,-0.43021353314434496,3,0.2644700427938581,0.0,0,0.457617023483229,0,0,0.1411727419949152,0,0
3,3,-0.3988373213516102,4,0.2153076736056874,2.1401996280637805,8,0.5041472429617605,1,0,0.3918771543433224,1,0
3,3,-0.16177542796264155,5,0.29297572137115774,1.7817508835981695,3,0.4881877648332628,2,1,0.1590653474260235,1,0
3,3,-0.1922862198295175,6,0.17236955990040814,0.0,0,0.42999151640455086,3,1,0.4659038084048146,0,0
3,3,0.0062241935067734455,7,0.24637885495996184,1.138189987651164,4,0.5406075766870819,4,0,0.3395580163883704,0,0
